job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level
56,HR Manager,Healthcare,Brazil,2020,15.69,29.04,37.15,9595.6,9914.78,3.33,-0.92,66.5,22.58,3
57,Customer Support Rep,Retail,Japan,2026,49.46,71.37,9.15,23003.27,22532.7,-2.05,-10.49,71.22,79.59,2
58,Mechanical Engineer,Energy,Japan,2021,21.61,21.92,39.21,53321.22,54964.85,3.08,10.22,19.02,31.55,3
59,Mechanical Engineer,Technology,India,2022,40.59,12.2,28.68,10890.59,11292.96,3.69,4.3,11.86,29.53,3
60,Financial Analyst,Technology,USA,2020,54.33,66.77,57.09,137640.14,127653.62,-7.26,2.19,69.55,37.51,4
61,Software Engineer,Finance,UK,2023,3.0,15.04,47.04,91766.27,95982.5,4.59,30.78,85.31,82.02,3
62,Marketing Specialist,Finance,USA,2022,35.86,35.48,55.49,80709.06,91454.93,13.31,18.38,64.44,57.48,3
63,HR Manager,Education,India,2020,52.88,14.45,43.74,6466.12,6313.55,-2.36,-6.84,53.25,16.07,3
64,Teacher,Education,Brazil,2021,15.84,10.28,39.76,8604.04,9131.01,6.12,6.24,22.25,17.0,3
65,Software Engineer,Finance,India,2023,5.76,24.53,82.48,23161.1,26116.81,12.76,14.78,99.0,71.09,3
66,Teacher,Healthcare,Brazil,2026,7.91,12.56,22.74,11391.25,10685.83,-6.19,6.11,32.68,37.84,3
67,Financial Analyst,Healthcare,Canada,2026,54.99,36.5,49.67,49146.49,49936.29,1.61,4.05,69.42,80.32,4
68,Truck Driver,Energy,Australia,2025,84.74,77.79,23.47,62263.68,62701.83,0.7,-6.15,5.7,57.87,1
69,Customer Support Rep,Transportation,Germany,2022,61.69,73.65,4.47,49127.32,44135.7,-10.16,-2.4,79.89,58.34,2
70,HR Manager,Education,Brazil,2025,27.7,25.75,58.7,14683.42,14635.65,-0.33,-8.34,57.57,38.95,3
71,Teacher,Education,Japan,2021,13.78,11.84,45.09,31742.75,29273.87,-7.78,10.77,63.59,10.01,3
72,Customer Support Rep,Transportation,Japan,2023,73.93,65.09,21.25,22558.96,20601.18,-8.68,-12.08,81.32,55.32,2
73,Customer Support Rep,Transportation,Japan,2024,62.08,63.47,32.65,28841.78,26973.58,-6.48,-8.28,86.57,63.26,2
74,Marketing Specialist,Retail,Japan,2025,46.98,33.66,48.75,34949.21,36859.24,5.47,12.84,64.12,84.74,3
75,Teacher,Healthcare,Brazil,2024,10.85,4.7,41.18,9749.46,9727.24,-0.23,7.29,59.18,28.2,3
76,Financial Analyst,Healthcare,UK,2025,31.49,68.78,59.28,79806.93,77761.32,-2.56,-0.42,52.11,75.25,4
77,Accountant,Education,Germany,2026,71.0,76.1,28.17,62034.65,61303.0,-1.18,-2.14,57.88,66.14,3
78,Data Analyst,Healthcare,Australia,2021,35.06,48.07,66.2,72368.23,75834.76,4.79,21.11,85.9,58.02,3
79,Data Analyst,Finance,Australia,2021,22.96,45.23,77.09,60149.61,58542.34,-2.67,16.08,90.24,56.99,3
80,Mechanical Engineer,Energy,Singapore,2025,21.57,12.43,63.23,50158.17,53230.21,6.12,1.26,28.65,64.06,3
81,Data Analyst,Retail,Japan,2020,29.26,34.18,48.03,31910.71,34897.81,9.36,21.65,78.27,43.64,3
82,Financial Analyst,Technology,India,2026,72.6,55.92,43.94,15538.05,14981.02,-3.58,2.11,70.34,67.26,4
83,Data Analyst,Healthcare,Singapore,2023,46.85,51.58,57.48,54501.22,53343.59,-2.12,9.88,82.02,75.4,3
84,Financial Analyst,Healthcare,UK,2024,66.4,46.66,52.04,66475.62,60513.65,-8.97,0.67,91.28,66.15,4
85,Customer Support Rep,Finance,India,2025,72.6,61.99,31.18,6469.62,5936.66,-8.24,-5.67,82.9,62.66,2
86,Data Analyst,Healthcare,Brazil,2024,27.93,31.56,51.8,11705.39,11665.49,-0.34,10.72,71.86,56.98,3
87,Accountant,Healthcare,USA,2023,57.05,76.42,33.18,75971.95,73864.7,-2.77,0.13,53.68,57.74,3
88,Marketing Specialist,Healthcare,Singapore,2022,45.78,49.23,45.52,42477.14,39693.45,-6.55,5.29,85.76,63.51,3
89,Marketing Specialist,Retail,Germany,2022,28.41,35.25,59.95,32449.38,31361.65,-3.35,6.33,90.1,57.76,3
90,HR Manager,Manufacturing,Brazil,2026,22.94,37.8,43.32,6079.4,6201.37,2.01,6.75,55.9,48.24,3
91,Teacher,Education,Canada,2024,7.06,5.21,43.04,51119.4,46719.98,-8.61,-0.4,15.58,30.22,3
92,Mechanical Engineer,Manufacturing,Germany,2022,26.7,17.8,54.35,41815.92,46171.2,10.42,26.32,20.02,40.22,3
93,Teacher,Education,Singapore,2025,3.0,11.78,31.49,41079.26,44460.39,8.23,-6.01,30.5,40.55,3
94,Financial Analyst,Technology,UK,2020,79.41,65.86,42.16,67731.46,66805.7,-1.37,-5.15,73.37,32.22,4
95,HR Manager,Education,Brazil,2026,39.86,29.61,48.55,9169.51,9664.11,5.39,3.62,68.7,41.42,3
96,Teacher,Education,USA,2023,16.08,3.0,53.09,44604.43,45784.99,2.65,2.86,19.45,27.64,3
97,Mechanical Engineer,Technology,Brazil,2024,24.07,30.65,42.56,19102.63,19795.59,3.63,7.81,26.83,40.39,3
98,Data Analyst,Retail,Brazil,2026,33.3,19.96,67.88,16308.89,17288.97,6.01,12.06,86.37,68.47,3
99,Financial Analyst,Finance,Australia,2020,40.1,51.42,49.1,74322.76,81599.46,9.79,2.77,50.24,38.39,4
100,Customer Support Rep,Transportation,India,2023,65.84,64.72,27.61,6933.26,5728.98,-17.37,-13.61,50.3,39.51,2
101,Data Analyst,Retail,Singapore,2024,49.43,29.21,65.03,40338.27,39292.04,-2.59,15.96,71.53,85.18,3
102,Software Engineer,Finance,Japan,2024,9.85,17.77,24.83,64628.37,66923.47,3.55,28.33,87.98,80.92,3
103,Mechanical Engineer,Technology,India,2022,32.89,19.21,29.16,11056.87,10826.79,-2.08,16.29,25.54,29.29,3
104,Customer Support Rep,Finance,India,2023,77.31,65.6,15.53,5058.73,4436.77,-12.29,-5.02,69.92,48.02,2
105,Data Analyst,Retail,Australia,2025,21.23,30.79,70.46,65330.16,75106.5,14.96,35.05,99.0,81.55,3
106,Mechanical Engineer,Energy,Germany,2020,18.88,41.06,43.34,76837.36,86225.62,12.22,14.31,31.7,35.21,3
107,Marketing Specialist,Technology,Canada,2021,35.07,26.35,58.53,59384.6,59395.98,0.02,17.78,78.61,40.37,3
108,Teacher,Education,Singapore,2024,4.56,10.73,59.44,40674.18,41388.82,1.76,4.29,58.47,37.97,3
109,Financial Analyst,Finance,Canada,2025,48.13,55.32,40.74,85581.71,85289.81,-0.34,-7.37,74.71,80.75,4
110,Data Analyst,Manufacturing,Australia,2024,37.61,40.24,64.83,49480.42,47492.75,-4.02,16.13,94.26,77.53,3
111,Financial Analyst,Finance,Canada,2023,43.55,49.57,16.62,91048.6,93959.55,3.2,2.68,70.18,58.56,4
112,Mechanical Engineer,Manufacturing,USA,2022,21.53,24.51,40.36,80969.0,82210.2,1.53,-0.47,37.8,30.43,3
113,Accountant,Finance,Germany,2020,60.04,74.03,36.36,50357.7,49113.84,-2.47,-9.63,79.91,23.44,3
114,Data Analyst,Retail,UK,2021,27.97,40.79,37.47,43823.05,46617.9,6.38,14.69,94.2,64.39,3
115,Mechanical Engineer,Manufacturing,India,2026,21.65,21.76,30.61,6293.87,6672.58,6.02,17.16,27.07,47.72,3
116,Financial Analyst,Healthcare,Canada,2022,32.71,60.87,40.79,27229.76,25735.82,-5.49,-4.91,85.56,51.83,4
117,Customer Support Rep,Finance,Germany,2022,77.69,57.82,17.7,32503.55,33344.15,2.59,-10.33,70.62,55.86,2
118,Accountant,Education,Canada,2024,90.63,79.98,16.18,60073.81,58399.68,-2.79,-8.57,69.82,65.38,3
119,Marketing Specialist,Retail,Canada,2020,54.89,53.53,65.3,55288.23,58126.58,5.13,1.31,88.4,39.52,3
120,Mechanical Engineer,Manufacturing,USA,2025,20.2,32.82,45.3,69843.86,67739.4,-3.01,16.04,2.0,53.83,3
121,Financial Analyst,Healthcare,Canada,2025,34.03,47.09,76.86,68287.84,70001.99,2.51,2.77,74.75,73.37,4
122,Mechanical Engineer,Technology,Australia,2025,26.89,23.01,44.41,86536.88,81673.82,-5.62,4.14,43.85,51.72,3
123,Marketing Specialist,Retail,Japan,2025,46.28,53.54,44.57,49210.74,52250.63,6.18,5.72,68.88,73.56,3
124,Truck Driver,Retail,Australia,2026,77.7,71.76,16.45,66281.01,60212.2,-9.16,-21.33,5.42,75.55,1
125,Mechanical Engineer,Energy,Australia,2020,24.18,27.26,42.79,75461.57,80745.94,7.0,6.08,15.08,23.91,3
126,Financial Analyst,Healthcare,Japan,2020,67.33,54.71,41.47,64093.33,60917.32,-4.96,-5.97,64.39,27.43,4
127,Customer Support Rep,Retail,USA,2022,71.67,64.54,10.17,37323.67,35042.49,-6.11,-7.79,72.32,65.58,2
128,Truck Driver,Transportation,UK,2026,85.93,70.38,18.83,39173.53,35688.2,-8.9,-13.7,3.96,72.4,1
129,Software Engineer,Healthcare,Japan,2026,23.78,3.0,73.59,44447.65,42750.57,-3.82,32.1,94.97,89.67,3
130,Data Analyst,Healthcare,USA,2023,45.2,47.73,52.89,28569.37,31468.51,10.15,19.43,85.85,77.48,3
131,Truck Driver,Retail,Brazil,2021,75.67,76.53,18.65,11403.23,9905.09,-13.14,-14.37,8.11,19.45,1
132,Truck Driver,Energy,India,2025,57.51,84.97,21.6,5600.59,4565.52,-18.48,-15.13,8.06,44.68,1
133,Software Engineer,Healthcare,Japan,2022,12.65,19.81,48.54,33825.45,38442.45,13.65,39.26,93.59,68.65,3
134,Customer Support Rep,Transportation,UK,2026,65.96,72.3,36.67,42233.11,39713.59,-5.97,-9.86,64.0,90.71,2
135,Financial Analyst,Finance,Germany,2026,48.13,53.31,55.31,40172.44,42850.45,6.67,-10.02,70.3,81.33,4
136,Financial Analyst,Technology,UK,2024,62.65,52.88,52.69,48537.68,48072.94,-0.96,7.21,77.91,67.42,4
137,Software Engineer,Healthcare,India,2026,9.36,24.49,8.19,15201.41,15923.55,4.75,23.69,99.0,78.24,3
138,Data Analyst,Manufacturing,Singapore,2024,36.01,40.15,69.91,57239.32,57509.82,0.47,16.21,79.82,88.23,3
139,Data Analyst,Manufacturing,Singapore,2020,46.73,38.05,57.61,51585.81,48360.29,-6.25,16.45,88.07,48.82,3
140,Accountant,Retail,Brazil,2022,70.24,75.5,25.88,12439.88,12313.63,-1.01,-8.07,76.96,35.11,3
141,Mechanical Engineer,Technology,Germany,2026,18.17,41.99,59.84,54250.58,58074.16,7.05,13.39,19.01,63.84,3
142,Accountant,Manufacturing,Brazil,2025,81.3,73.18,24.3,5836.48,5074.25,-13.06,-7.27,54.32,53.81,3
143,Marketing Specialist,Retail,UK,2021,51.56,53.02,41.29,57380.58,62329.25,8.62,20.0,64.76,52.73,3
144,Accountant,Finance,India,2021,65.15,73.05,25.64,3412.49,3359.34,-1.56,-6.26,71.27,27.26,3
145,Data Analyst,Finance,India,2020,59.45,36.06,34.88,10863.7,10813.95,-0.46,27.07,87.6,32.56,3
146,Mechanical Engineer,Manufacturing,Singapore,2020,29.27,23.4,35.29,68640.07,76774.36,11.85,3.87,13.77,33.78,3
147,Software Engineer,Retail,UK,2025,18.26,22.07,29.79,94609.68,107365.48,13.48,27.45,89.65,99.0,3
148,Marketing Specialist,Technology,Germany,2024,53.04,48.89,60.83,40096.91,41969.75,4.67,1.11,81.57,68.55,3
149,Accountant,Education,Japan,2021,88.19,78.91,24.24,41098.8,37542.84,-8.65,-8.52,49.18,36.47,3
150,Mechanical Engineer,Technology,UK,2024,31.61,16.02,51.61,62604.33,66877.05,6.82,11.41,19.15,50.55,3
151,Teacher,Education,Canada,2021,3.0,6.92,37.94,70634.47,67560.67,-4.35,3.11,40.63,16.45,3
152,Software Engineer,Healthcare,USA,2023,3.0,6.48,43.75,176633.28,201337.6,13.99,16.19,88.21,89.52,3
153,Marketing Specialist,Finance,India,2023,37.56,61.83,38.14,8536.5,8585.51,0.57,3.22,64.92,49.89,3
154,Data Analyst,Manufacturing,Australia,2022,40.33,52.69,28.23,50641.07,52908.96,4.48,20.33,69.13,64.97,3
155,Truck Driver,Manufacturing,Australia,2021,69.06,79.61,34.79,52265.14,45988.41,-12.01,-14.51,4.16,22.08,1
156,Customer Support Rep,Finance,UK,2023,66.31,67.84,6.39,35761.78,30896.96,-13.6,-22.47,75.47,64.55,2
157,Truck Driver,Retail,Germany,2022,83.65,75.37,13.83,32899.07,30825.15,-6.3,-7.25,9.21,43.48,1
158,Truck Driver,Transportation,Japan,2025,79.07,90.44,19.65,27232.0,24922.52,-8.48,-10.83,4.97,61.54,1
159,HR Manager,Healthcare,Australia,2026,29.83,28.92,37.51,70272.85,70495.76,0.32,5.11,77.87,54.15,3
160,Truck Driver,Transportation,Australia,2026,71.39,78.53,13.85,49485.8,40537.24,-18.08,0.54,6.17,71.95,1
161,HR Manager,Healthcare,Brazil,2026,13.17,13.08,34.0,6720.73,6430.86,-4.31,13.35,63.88,44.22,3
162,Software Engineer,Retail,Brazil,2022,13.78,21.9,86.73,20438.82,22440.23,9.79,28.61,83.94,50.08,3
163,Software Engineer,Healthcare,India,2022,23.75,45.84,54.48,25135.76,26721.17,6.31,23.8,92.91,56.66,3
164,Mechanical Engineer,Manufacturing,Australia,2021,16.59,39.39,52.32,72850.45,82355.88,13.05,-0.46,3.57,34.18,3
165,Mechanical Engineer,Transportation,USA,2023,31.89,32.96,38.1,96144.79,95565.04,-0.6,3.17,45.56,44.73,3
166,Data Analyst,Retail,Canada,2020,44.78,48.68,83.77,64771.03,67550.67,4.29,17.53,71.19,45.77,3
167,Data Analyst,Finance,USA,2024,43.83,28.27,56.59,67150.67,71434.65,6.38,26.82,60.67,87.99,3
168,Mechanical Engineer,Technology,Brazil,2020,22.89,32.44,57.95,15436.67,15000.46,-2.83,4.62,24.22,19.51,3
169,Software Engineer,Finance,Australia,2022,33.34,34.81,34.08,67268.34,68288.9,1.52,23.03,99.0,69.21,3
170,Accountant,Education,Japan,2023,85.54,64.27,32.69,40148.61,37513.81,-6.56,-7.23,70.34,48.44,3
171,HR Manager,Healthcare,Singapore,2024,53.12,40.58,25.91,42639.69,41106.4,-3.6,2.15,57.2,41.9,3
172,Teacher,Education,Singapore,2023,15.47,14.92,36.43,33893.81,35596.26,5.02,7.51,10.6,31.63,3
173,Truck Driver,Manufacturing,Japan,2026,84.79,90.57,28.14,23981.56,23883.08,-0.41,-17.77,7.03,69.13,1
174,Teacher,Education,USA,2025,7.6,7.26,37.45,56102.18,56433.82,0.59,16.32,44.58,41.07,3
175,Mechanical Engineer,Energy,USA,2020,19.67,29.24,36.14,68237.2,66217.17,-2.96,12.11,4.02,33.12,3
176,Data Analyst,Technology,Japan,2020,40.29,62.2,73.27,38037.73,39608.02,4.13,15.5,89.24,56.71,3
177,Customer Support Rep,Transportation,India,2026,57.82,78.97,22.76,4643.18,4502.94,-3.02,3.55,48.9,65.89,2
178,Software Engineer,Technology,Japan,2023,3.0,25.95,54.04,66321.86,74223.21,11.91,18.51,76.88,80.74,3
179,Accountant,Manufacturing,Japan,2021,61.55,80.53,31.62,30745.51,29238.12,-4.9,-7.87,39.03,37.64,3
180,Financial Analyst,Energy,Brazil,2024,46.74,49.42,41.65,15950.94,15442.74,-3.19,4.76,71.91,45.41,4
181,Marketing Specialist,Finance,Brazil,2021,50.64,63.2,25.63,15758.55,15566.1,-1.22,10.53,65.49,34.55,3
182,Mechanical Engineer,Transportation,USA,2025,9.84,35.62,60.31,102549.17,100380.21,-2.12,8.94,29.07,59.01,3
183,Software Engineer,Healthcare,Brazil,2020,23.27,26.65,75.68,27965.22,30350.5,8.53,17.83,83.01,50.93,3
184,Truck Driver,Manufacturing,Brazil,2022,82.61,76.88,16.11,4310.9,3779.27,-12.33,-12.33,5.81,38.53,1
185,Truck Driver,Retail,USA,2021,76.37,82.53,19.1,42793.2,37547.25,-12.26,-15.27,6.16,28.71,1
186,Financial Analyst,Finance,Brazil,2026,30.33,55.25,79.62,17044.08,16399.05,-3.78,-5.86,74.47,67.16,4
187,Mechanical Engineer,Energy,Japan,2024,29.46,31.39,43.52,59137.85,61688.9,4.31,9.23,10.21,47.79,3
188,Customer Support Rep,Retail,Japan,2024,71.97,71.24,17.89,23779.28,22777.54,-4.21,-9.29,69.75,68.0,2
189,Customer Support Rep,Finance,Australia,2023,75.92,66.84,37.96,47202.35,40686.87,-13.8,-12.26,89.21,55.56,2
190,Accountant,Retail,Canada,2024,58.28,59.61,26.4,59461.16,53394.96,-10.2,-6.12,76.92,57.37,3
191,Truck Driver,Retail,Japan,2021,88.21,71.49,24.23,23853.56,22409.38,-6.05,-25.12,8.93,33.04,1
192,Customer Support Rep,Retail,Canada,2021,65.73,81.95,14.55,52711.92,45352.76,-13.96,-14.73,83.28,37.08,2
193,Truck Driver,Retail,Brazil,2025,70.54,77.21,16.7,6803.14,5619.59,-17.4,-9.13,4.27,44.49,1
194,Financial Analyst,Energy,Australia,2024,49.17,47.07,35.41,58574.39,51507.2,-12.07,2.01,78.69,64.95,4
195,Customer Support Rep,Retail,Singapore,2025,78.46,69.84,15.45,21887.14,20202.59,-7.7,-7.71,77.07,83.29,2
196,Financial Analyst,Technology,Australia,2022,54.56,57.74,29.85,52532.42,48809.78,-7.09,-7.16,82.82,52.37,4
197,Customer Support Rep,Retail,USA,2020,75.13,74.81,11.65,48916.26,43502.96,-11.07,-0.68,89.74,29.57,2
198,HR Manager,Education,Australia,2024,38.45,41.62,44.51,67048.81,67260.57,0.32,5.68,37.28,44.91,3
199,Truck Driver,Manufacturing,Germany,2026,82.66,74.65,13.67,53615.57,48716.95,-9.14,-1.59,5.91,73.73,1
200,Software Engineer,Retail,Japan,2021,21.33,15.37,94.96,54973.85,63011.16,14.62,11.07,88.27,61.62,3
201,Customer Support Rep,Finance,Brazil,2024,73.85,57.43,39.16,6787.34,6196.4,-8.71,-16.14,77.16,51.06,2
202,Accountant,Finance,Germany,2020,67.61,62.22,15.62,65038.49,61625.79,-5.25,-2.85,84.55,23.25,3
203,Software Engineer,Finance,Australia,2022,3.0,31.27,69.35,59298.87,64236.63,8.33,16.4,90.7,64.32,3
204,Accountant,Healthcare,Singapore,2020,82.11,62.1,38.92,48552.85,48599.5,0.1,2.04,87.76,29.04,3
205,Accountant,Education,India,2021,74.94,75.52,19.07,3752.45,3949.96,5.26,-0.59,68.62,27.33,3
206,Financial Analyst,Energy,India,2026,87.83,28.38,57.12,12933.98,11344.74,-12.29,0.64,64.82,74.34,4
207,Data Analyst,Manufacturing,Japan,2020,31.45,39.5,89.89,31710.34,30946.43,-2.41,8.4,77.6,50.18,3
208,Customer Support Rep,Technology,Australia,2026,72.92,65.94,26.33,28697.1,29173.52,1.66,-6.23,86.4,85.93,2
209,Accountant,Retail,USA,2020,72.21,76.72,44.81,68677.82,61782.35,-10.04,4.64,55.37,33.76,3
210,Accountant,Finance,USA,2021,88.9,75.95,25.96,91882.72,77809.85,-15.32,-3.8,59.81,42.57,3
211,Truck Driver,Retail,USA,2023,77.31,73.21,17.98,66993.1,64780.64,-3.3,-15.91,7.78,50.93,1
212,Accountant,Finance,Japan,2024,61.39,79.64,18.79,49713.61,48746.57,-1.95,-3.75,46.08,56.7,3
213,Software Engineer,Finance,India,2021,10.15,17.71,33.74,14299.35,14329.67,0.21,15.12,78.79,58.32,3
214,Truck Driver,Energy,Japan,2025,71.67,85.07,24.66,17899.57,16555.08,-7.51,-6.43,9.71,64.74,1
215,Financial Analyst,Technology,UK,2021,44.73,76.02,53.6,25578.65,24796.19,-3.06,0.38,74.34,42.13,4
216,Accountant,Retail,Brazil,2022,70.53,61.12,21.61,6353.55,5764.97,-9.26,-2.66,55.5,34.81,3
217,Data Analyst,Technology,India,2022,33.41,39.14,36.62,13206.31,14302.23,8.3,17.9,95.45,44.35,3
218,Accountant,Healthcare,Australia,2026,78.44,59.86,8.49,35899.7,33770.97,-5.93,-7.56,65.13,72.69,3
219,HR Manager,Finance,Germany,2023,22.62,15.02,22.2,79196.1,82971.14,4.77,6.11,58.91,38.91,3
220,Accountant,Healthcare,Germany,2023,67.53,85.53,35.31,53757.18,47302.63,-12.01,-4.33,59.42,53.18,3
221,Accountant,Manufacturing,Japan,2022,84.49,92.33,20.87,29892.81,26531.38,-11.24,-7.74,78.82,43.57,3
222,Data Analyst,Healthcare,Japan,2022,32.41,25.42,56.5,34469.01,35478.5,2.93,35.08,90.38,67.75,3
